250
80	1.0	2.0
-0	-0
-27	-0
-55	-0
-83	-0
-112	-0
-140	-0
-169	-0
-198	-0
-227	-0
-256	-0
-284	-0
-313	-0
-341	-0
-368	-0
-396	-0
-422	-0
-449	-0
-474	-0
-499	-0
-523	-0
-546	-0
-568	-0
-589	-0
-609	-0
-628	-0
-646	-0
-662	-0
-677	-0
-691	-0
-703	-0
-713	-0
-722	-0
-730	-0
-735	-0
-739	-0
-741	-0
-741	-0
-740	-0
-736	-0
-730	-0
-723	-0
-713	-0
-702	-0
-688	-0
-672	-0
-654	-0
-634	-0
-612	-0
-587	-0
-561	-0
-532	-0
-501	-0
-468	-0
-433	-0
-396	-0
-357	-0
-316	-0
-272	-0
-227	-0
-180	-0
-131	-0
-79	-0
-27	-0
28	0
84	0
142	0
202	0
263	0
326	0
390	0
455	0
522	0
590	0
659	0
729	0
799	0
871	0
943	0
1016	0
1090	0
1164	0
1238	0
1313	0
1388	0
1463	0
1538	0
1612	0
1687	0
1761	0
1835	0
1908	0
1980	0
2052	0
2123	0
2192	0
2261	0
2329	0
2395	0
2460	0
2524	0
2586	0
2646	0
2705	0
2762	0
2816	0
2869	0
2920	0
2969	0
3016	0
3060	0
3102	0
3141	0
3178	0
3213	0
3245	0
3274	0
3301	0
3325	0
3346	0
3365	0
3381	0
3393	0
3403	0
3411	0
3415	0
3416	0
3415	0
3411	0
3403	0
3393	0
3381	0
3365	0
3346	0
3325	0
3301	0
3274	0
3245	0
3213	0
3178	0
3141	0
3102	0
3060	0
3016	0
2969	0
2920	0
2869	0
2816	0
2762	0
2705	0
2646	0
2586	0
2524	0
2460	0
2395	0
2329	0
2261	0
2192	0
2123	0
2052	0
1980	0
1908	0
1835	0
1761	0
1687	0
1612	0
1538	0
1463	0
1388	0
1313	0
1238	0
1164	0
1090	0
1016	0
943	0
871	0
799	0
729	0
659	0
590	0
522	0
455	0
390	0
326	0
263	0
202	0
142	0
84	0
28	0
-27	-0
-79	-0
-131	-0
-180	-0
-227	-0
-272	-0
-316	-0
-357	-0
-396	-0
-433	-0
-468	-0
-501	-0
-532	-0
-561	-0
-587	-0
-612	-0
-634	-0
-654	-0
-672	-0
-688	-0
-702	-0
-713	-0
-723	-0
-730	-0
-736	-0
-740	-0
-741	-0
-741	-0
-739	-0
-735	-0
-730	-0
-722	-0
-713	-0
-703	-0
-691	-0
-677	-0
-662	-0
-646	-0
-628	-0
-609	-0
-589	-0
-568	-0
-546	-0
-523	-0
-499	-0
-474	-0
-449	-0
-422	-0
-396	-0
-368	-0
-341	-0
-313	-0
-284	-0
-256	-0
-227	-0
-198	-0
-169	-0
-140	-0
-112	-0
-83	-0
-55	-0
-27	-0
