1,120
2,120
3,120
4,120
5,120
6,120
7,120
8,120
9,120
10,120
11,120
12,126
13,130
14,136
15,142
16,148
17,154
18,160
19,174
20,182
21,182
22,190
23,198
24,206
25,216
26,224
27,234
28,244
29,254
30,266
31,276
32,288
33,300
34,314
35,326
36,340
37,354
38,370
39,386
40,402
41,420
42,438
43,456
44,476
45,496
46,516
47,538
48,562
49,586
50,610
51,636
52,664
53,692
54,722
55,752
56,784
57,818
58,852
59,888
60,926
61,966
62,1006
63,1050
64,1094
65,1142
66,1190
67,1240
68,1294
69,1348
70,1406
71,1466
72,1528
73,1594
74,1660
75,1732
76,1806
77,1882
78,1962
79,2046
80,2134
81,2224
82,2318
83,2418
84,2520
85,2628
86,2740
87,2856
88,2978
89,3106
90,3238
91,3376
92,3518
93,3668
94,3826
95,3988
96,4158
97,4334
98,4520
99,4712
100,4912
101,5122
102,5340
103,5568
104,5804
105,6052
106,6310
107,6578
108,6858
109,7150
110,7456
111,7772
112,8104
113,8448
114,8808
115,9184
116,9576
117,9982
118,10408
119,10852
120,11314
121,11796
122,12298
123,12822
124,13368
125,13936
126,14530
127,15150
128,15794
129,16468
130,17168
131,17900
132,18662
133,19458
134,20286
135,21150
136,22050
137,22990
138,23968
139,24990
140,26054
141,27164
142,28320
143,29526
144,30784
145,32096
146,33462
147,34888
148,36374
149,37922
150,39538
151,41222
152,42978
153,44808
154,46716
155,48706
156,50780
157,52944
158,55198
159,57548
160,60000
